iter	Logloss
0	0.6604709944
1	0.6356983733
2	0.6094890818
3	0.5894133808
4	0.5747120752
5	0.5605973695
6	0.5480582079
7	0.5379003755
8	0.5272626812
9	0.5193601767
10	0.5114135313
11	0.504472673
12	0.4986702314
13	0.4940974821
14	0.4896601856
15	0.4849497281
16	0.4818969754
17	0.4777916845
18	0.4736049766
19	0.4707800578
20	0.4685422109
21	0.4658201395
22	0.4631526667
23	0.4602957285
24	0.4569096905
25	0.455396967
26	0.4532100714
27	0.4519071727
28	0.4499328229
29	0.448338033
30	0.4464729855
31	0.4440382121
32	0.442238459
33	0.4403170033
34	0.4386052353
35	0.4370622691
36	0.4356427797
37	0.434710617
38	0.4336805332
39	0.4323117744
40	0.4309224688
41	0.4300212512
42	0.4289736002
43	0.427992589
44	0.4270960243
45	0.426290971
46	0.4256152745
47	0.4245199388
48	0.4233237104
49	0.4215898176
50	0.4205815316
51	0.4194945084
52	0.4188214973
53	0.4173739209
54	0.4166346077
55	0.4160439557
56	0.4153199992
57	0.413961316
58	0.4132988099
59	0.4126320824
60	0.4120874379
61	0.4113361012
62	0.4106603845
63	0.4100233603
64	0.4088768941
65	0.4084881346
66	0.4078981336
67	0.4070453297
68	0.4062322896
69	0.4056343447
70	0.4050841629
71	0.4047701209
72	0.4042394354
73	0.4038649273
74	0.4032201844
75	0.4026738908
76	0.4021658465
77	0.4016283531
78	0.4010673217
79	0.400402146
80	0.3999784032
81	0.3995586432
82	0.3990722249
83	0.3984201948
84	0.3980478552
85	0.3977148164
86	0.3972307354
87	0.3968433432
88	0.3964465784
89	0.3960495057
90	0.3954601144
91	0.3950177364
92	0.3945558108
93	0.3939923511
94	0.393625462
95	0.3931590944
96	0.3928170816
97	0.3920478115
98	0.3911647836
99	0.3907428545
100	0.390041728
101	0.3896936378
102	0.3893071009
103	0.3890096029
104	0.3874199352
105	0.387107992
106	0.3867380582
107	0.3864726915
108	0.386012208
109	0.3854856733
110	0.3851033945
111	0.3838150918
112	0.38146871
113	0.3810532304
114	0.380571803
115	0.3801842511
116	0.3798792645
117	0.3793294491
118	0.3790948739
119	0.37852627
120	0.3777260964
121	0.3774821793
122	0.3771518872
123	0.3752633407
124	0.3747593029
125	0.3743061377
126	0.3740699547
127	0.373644916
128	0.3733736183
129	0.3729262582
130	0.3726520444
131	0.3723039569
132	0.3720239387
133	0.3715499945
134	0.3713221989
135	0.3708937294
136	0.3704907107
137	0.3694846805
138	0.3691968555
139	0.3676963645
140	0.3672365493
141	0.3668806619
142	0.3665076749
143	0.3662096316
144	0.365983507
145	0.3657300262
146	0.3654783966
147	0.3652625609
148	0.3649551043
149	0.3647863373
150	0.3636967047
151	0.3633239881
152	0.362972167
153	0.362670506
154	0.362462624
155	0.3622593037
156	0.3620381694
157	0.3618902754
158	0.3617294583
159	0.3614795495
160	0.360107441
161	0.3599572178
162	0.3596664613
163	0.3592880918
164	0.3589387102
165	0.3587287814
166	0.3585502853
167	0.3583708181
168	0.3581925179
169	0.3573742357
170	0.3572334314
171	0.3568051854
172	0.3565568105
173	0.3562746917
174	0.3561299473
175	0.3559708453
176	0.3557866695
177	0.3551252392
178	0.3549466549
179	0.3547969166
180	0.3539805944
181	0.3538129267
182	0.3536520105
183	0.3534061015
184	0.3527770537
185	0.3524869252
186	0.3523978174
187	0.3522062745
188	0.3518680652
189	0.35163831
190	0.3515194502
191	0.3512451682
192	0.3507550073
193	0.3506209334
194	0.3505118701
195	0.3501397398
196	0.3499339893
197	0.3496486684
198	0.3493340574
199	0.3491829965
200	0.3488919781
201	0.3487033743
202	0.3484668295
203	0.3482814376
204	0.3481553016
205	0.3479141089
206	0.3478453973
207	0.3477586796
208	0.3475822953
209	0.3474226146
210	0.3465022748
211	0.3464035119
212	0.346290425
213	0.3461746144
214	0.3460125313
215	0.3458654295
216	0.3457467682
217	0.3453000879
218	0.3450926708
219	0.3449665655
220	0.3448408242
221	0.3445429437
222	0.3444607425
223	0.3442695696
224	0.3440949366
225	0.3437736393
226	0.3436436954
227	0.3434300433
228	0.3432086176
229	0.3431231032
230	0.3430172204
231	0.3427347784
232	0.3423959765
233	0.3415483431
234	0.34103423
235	0.3408475144
236	0.3407369154
237	0.3404185214
238	0.340312481
239	0.340205246
240	0.3401070396
241	0.3400823439
242	0.3398463346
243	0.3397045319
244	0.3394993896
245	0.339254907
246	0.3391719313
247	0.3390307125
248	0.3389045458
249	0.338819449
250	0.3387404547
251	0.3386538466
252	0.3384867397
253	0.3383614045
254	0.3382619703
255	0.3380852192
256	0.337961446
257	0.3377934076
258	0.3376239695
259	0.3374191555
260	0.337227069
261	0.3371575374
262	0.3371341099
263	0.3370702518
264	0.3369863226
265	0.3368939146
266	0.3366732479
267	0.3365954588
268	0.3364496326
269	0.3363265583
270	0.3362606844
271	0.3361626038
272	0.335980793
273	0.3358991482
274	0.3358407535
275	0.335581843
276	0.3353173395
277	0.3352037882
278	0.3350821122
279	0.335060048
280	0.3349273248
281	0.3347578557
282	0.3344202829
283	0.3344000364
284	0.3343097343
285	0.3341491705
286	0.3341033271
287	0.3339977848
288	0.3338834852
289	0.3333022294
290	0.3330956956
291	0.3330288418
292	0.3329973178
293	0.3329326078
294	0.3328480854
295	0.3326713236
296	0.3325365127
297	0.3324479075
298	0.332293637
299	0.3322125748
300	0.3321539673
301	0.3320953735
302	0.3319437044
303	0.3318759378
304	0.3318366523
305	0.3316463699
306	0.331590038
307	0.3314096664
308	0.3314038522
309	0.3312880847
310	0.3311146464
311	0.3309748915
312	0.3308769283
313	0.3306602737
314	0.330526449
315	0.3304709999
316	0.3304252717
317	0.3303037936
318	0.3300937787
319	0.3300137817
320	0.3299090581
321	0.3298985459
322	0.3297690739
323	0.3295820781
324	0.3295034003
325	0.3294639373
326	0.3294102406
327	0.3293201701
328	0.329256323
329	0.32905157
330	0.3289413029
331	0.3288657948
332	0.3288117666
333	0.3286368521
334	0.3285037539
335	0.328430315
336	0.3283500211
337	0.3283413763
338	0.3282448001
339	0.3281632321
340	0.3280862118
341	0.3280087512
342	0.3279385825
343	0.3278931621
344	0.3277761048
345	0.3275836494
346	0.3275420675
347	0.3273837826
348	0.3272794422
349	0.3271187797
350	0.3270735409
351	0.326956672
352	0.3268259872
353	0.3266855078
354	0.3266816489
355	0.3266486652
356	0.3265344332
357	0.3264871002
358	0.3264008759
359	0.3263818223
360	0.3262672543
361	0.3262526279
362	0.3261476734
363	0.3261200282
364	0.325973791
365	0.3259152676
366	0.325845659
367	0.3256634971
368	0.3255847881
369	0.325550814
370	0.3255217712
371	0.3254505367
372	0.3253798567
373	0.3251189613
374	0.3250760033
375	0.3249987561
376	0.324928287
377	0.3247936438
378	0.3246834245
379	0.3245473954
380	0.3244568667
381	0.3244112334
382	0.3243542677
383	0.324258491
384	0.3241675358
385	0.3241296957
386	0.3240695879
387	0.3240217961
388	0.3238682023
389	0.3238231688
390	0.323794121
391	0.3236884832
392	0.3236194415
393	0.3235393862
394	0.3235076213
395	0.3234827456
396	0.3234181201
397	0.3228944906
398	0.3228492801
399	0.3227947838
400	0.3227076352
401	0.3226070212
402	0.3225567351
403	0.3223954227
404	0.3223039789
405	0.3222599912
406	0.3221831588
407	0.3221615774
408	0.3221212818
409	0.3220735551
410	0.3219981175
